"agreement","annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
100.0,35301122,"20111","2024-04-25T20:20:15.678497Z","bvcuvqhsvg5",3.127,"non-belief","Quantum Entanglement babyyy","2024-04-25T20:20:15.678515Z"
100.0,35301136,"20111","2024-04-25T20:20:38.698148Z","fqjavdtue4j",22.357,"non-belief","Good catch. Updated the description: Yes for Vine, No for TikTok.","2024-04-25T20:20:38.698166Z"
100.0,35301139,"20111","2024-04-25T20:20:41.245647Z","aig292awtb6",1.858,"non-belief","All of our ingredients are ethically sourced.","2024-04-25T20:20:41.245665Z"
100.0,35301141,"20111","2024-04-25T20:20:44.036213Z","567lbqb2dyp",2.189,"belief","seems right:","2024-04-25T20:20:44.036230Z"
100.0,35301148,"20111","2024-04-25T20:20:53.803116Z","t04x2msdwls",9.202,"non-belief","to the moon","2024-04-25T20:20:53.803131Z"
100.0,35301152,"20111","2024-04-25T20:21:02.157651Z","qqpmop8lab",7.701,"belief","if [any party other than the one I voted for] wins, I'm moving to another  country  website","2024-04-25T20:21:02.157673Z"
100.0,35301160,"20111","2024-04-25T20:21:09.483309Z","c3ibvhtbj5",6.701,"non-belief","If bronies are male fans, and pegasisters are female fans, what are non-binary fans called? I propose enbicorns.","2024-04-25T20:21:09.483326Z"
100.0,35301166,"20111","2024-04-25T20:21:20.289461Z","t4t5xafdp29",10.13,"belief","Didn't know how to phrase it right, but I would only count it as part of if it was part of an official operation or if it was referred to being part of the retaliation by a politician or by military command. That should be less subjective.","2024-04-25T20:21:20.289480Z"
100.0,35301173,"20111","2024-04-25T20:21:26.403321Z","ngo742lh0r",5.419,"non-belief","Then if thats fine by  , I will answer questions on what I would ir would not consider resembling","2024-04-25T20:21:26.403348Z"
100.0,35301178,"20111","2024-04-25T20:21:32.382153Z","zzg7afca03d",5.286,"belief","I would advocate to resolve this to YES even if they only say they will implement it","2024-04-25T20:21:32.382175Z"
100.0,35301187,"20111","2024-04-25T20:21:38.941580Z","n5x715jmghl",5.706,"non-belief","The PR that enabled spice will be titled ""THE SPICE MUST FLOW"" or similar. Why did this resolve already ? Spice is not enabled...","2024-04-25T20:21:38.941607Z"
